IMAGENAME,ID,RUN,NITE,BAND,IMAGETYPE,CCD,RA,DEC,NAXIS1,NAXIS2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,PV1_0,PV1_1,PV1_2,PV1_3,PV1_4,PV1_5,PV1_6,PV1_7,PV1_8,PV1_9,PV1_10,PV2_0,PV2_1,PV2_2,PV2_3,PV2_4,PV2_5,PV2_6,PV2_7,PV2_8,PV2_9,PV2_10
DECam_00271520_01.fits,16754190,20140505085437_20140104,20140104,r,red,1,15.52076,-48.42768,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,13420,6307.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.004336,1.014,-0.0113,0,0.008866,-0.0166,0.01202,8.534E-4,-0.00747,0.005806,-0.00436,0.002629,0.9932,-0.00942,0,0.008771,0.01826,-0.0107,-0.00374,-0.00939,0.007203,-0.00368
DECam_00271520_02.fits,16754191,20140505085437_20140104,20140104,r,red,2,15.98848,-48.42907,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,13420,2048.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00319,1.012,0.006323,0,-0.00144,-0.0156,-0.00483,-0.00218,0.001496,0.006762,0.001693,-0.00575,1.022,-0.00128,0,-0.0255,-0.00109,-0.00801,0.009587,5.271E-4,0.006909,9.019E-4
DECam_00271520_03.fits,16754192,20140505085437_20140104,20140104,r,red,3,16.45681,-48.42816,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,13420,-2210.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,2.348E-5,1.015,-0.00359,0,-0.00883,-0.0202,0.00501,7.233E-4,0.007412,0.007877,-0.00208,-0.0089,1.033,0.006125,0,-0.0372,-0.012,-0.00983,0.0137,0.006314,0.005889,0.004106
DECam_00271520_04.fits,16754193,20140505085437_20140104,20140104,r,red,4,15.28407,-48.59043,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,11170,8437.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.006493,1.016,-0.0184,0,0.01338,-0.0163,0.02272,0.002922,-0.00915,0.004867,-0.00957,-0.00106,0.9958,-0.0173,0,0.02314,0.04556,-0.00484,-0.0169,-0.0251,0.01049,0.002275
DECam_00271520_05.fits,16754194,20140505085437_20140104,20140104,r,red,5,15.75363,-48.59214,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,11170,4178.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,6.354E-4,1.007,-5.5E-4,0,0.002133,-0.00354,6.454E-4,-0.00333,-0.00283,-8.47E-4,-4.54E-4,-0.00161,1.008,-0.00116,0,-0.00487,0.003671,-0.00316,-1.77E-5,-0.00228,0.001199,-2.62E-4
DECam_00271520_06.fits,16754195,20140505085437_20140104,20140104,r,red,6,16.22352,-48.59245,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,11170,-81.7,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-3.96E-4,1.008,-4.73E-4,0,-0.00168,-0.00662,0.001296,-0.0038,0.002837,0.001108,-6.4E-4,0.002066,0.993,5.413E-4,0,0.01455,-0.00248,-0.00297,-0.00855,0.001741,5.089E-4,0.001216
DECam_00271520_07.fits,16754196,20140505085437_20140104,20140104,r,red,7,16.6929,-48.59122,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,11170,-4340.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00213,1.016,9.679E-4,0,-0.00959,-0.0207,0.001803,0.001626,0.00693,0.008835,-0.00199,-0.00519,1.018,0.01007,0,-0.0154,-0.0222,-0.00811,0.00343,0.01261,0.005733,0.002439
DECam_00271520_08.fits,16754197,20140505085437_20140104,20140104,r,red,8,15.046,-48.75301,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,8914,10570.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.005477,1.016,-0.012,0,0.01349,-0.017,0.01422,0.002879,-0.00947,0.004766,-0.00652,-0.00435,1.015,-0.01,0,-0.00954,0.01962,-0.0105,-8.13E-5,-0.0108,0.005697,-0.00398
DECam_00271520_09.fits,16754198,20140505085437_20140104,20140104,r,red,9,15.51669,-48.75556,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,8914,6307.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.001319,1.007,-0.00419,0,0.003025,-0.0028,0.008516,-0.00246,-0.00426,-0.00274,-0.0053,-5.74E-4,1.002,-0.00177,0,0.005319,0.002774,-0.00239,-0.00598,-0.00145,-2.58E-5,-9.85E-4
DECam_00271520_10.fits,16754199,20140505085437_20140104,20140104,r,red,10,15.98829,-48.75669,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,8914,2048.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00197,1.004,0.01066,0,-2.05E-4,0.004639,-0.0188,-0.00495,6.757E-4,-0.00735,0.0109,-8.01E-4,1.004,-4.32E-4,0,0.002947,0.001945,4.769E-4,-0.00502,-0.00189,-0.00504,3.685E-4
DECam_00271520_11.fits,16754200,20140505085437_20140104,20140104,r,red,11,16.4598,-48.75613,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,8914,-2210.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00128,1.007,0.001872,0,-0.00282,-0.00367,-0.00258,-0.00221,0.003331,-0.00156,0.001465,-7.97E-4,1.005,2.544E-4,0,6.945E-4,-5.93E-4,-0.00205,-0.00327,1.148E-4,-0.00101,0.001093
DECam_00271520_12.fits,16754201,20140505085437_20140104,20140104,r,red,12,16.93076,-48.7541,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,8914,-6470.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.008173,1.029,-0.0752,0,-0.0316,-0.0189,0.1431,0.01436,0.001755,0.01485,-0.0907,-0.00466,1.018,0.008183,0,-0.0164,-0.0172,-0.00866,0.004244,0.009561,0.004976,0.003167
DECam_00271520_13.fits,16754202,20140505085437_20140104,20140104,r,red,13,14.80638,-48.91526,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,12700.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.006673,1.026,-0.00412,0,0.02542,-0.023,-0.00784,0.009597,-0.00254,0.02634,0.02445,-0.00317,1.01,-0.008,0,-0.00485,0.01155,-0.00955,0.005361,0.004141,0.008473,-0.00307
DECam_00271520_14.fits,16754203,20140505085437_20140104,20140104,r,red,14,15.27801,-48.91873,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,8437.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.00161,1.009,-0.00226,0,0.006756,-0.00313,0.005098,5.966E-4,-0.00365,-0.00271,-0.00436,-5.44E-4,1.004,8.333E-5,0,0.004246,0.004037,0.001535,-0.0081,-0.00465,-0.00225,0.001124
DECam_00271520_15.fits,16754204,20140505085437_20140104,20140104,r,red,15,15.7512,-48.92056,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,4178.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.001136,1.006,-0.00577,0,8.976E-4,0.001222,0.01388,-0.00461,-0.00246,-0.00616,-0.0112,-0.0024,1.018,-9.83E-4,0,-0.0277,0.006077,-2.79E-4,0.01674,-0.00901,-0.00557,-0.00214
DECam_00271520_16.fits,16754205,20140505085437_20140104,20140104,r,red,16,16.22483,-48.92106,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,-81.7,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-3.39E-4,1.006,4.968E-4,0,-5.32E-4,8.446E-4,-0.00205,-0.00381,0.001113,-0.00509,0.00187,-3.4E-4,1.001,6.217E-4,0,0.01077,-0.00163,-7.8E-4,-0.0124,0.001015,-8.22E-4,-5.6E-4
DECam_00271520_17.fits,16754206,20140505085437_20140104,20140104,r,red,17,16.69794,-48.91952,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,-4340.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00298,1.006,0.01411,0,-0.00118,-0.00136,-0.0345,-0.00194,-0.00172,0.001613,0.02704,-0.00389,1.034,-0.00273,0,-0.0761,0.005188,0.002388,0.05832,0.006772,-0.0141,0.001444
DECam_00271520_18.fits,16754207,20140505085437_20140104,20140104,r,red,18,17.17008,-48.91649,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,6660,-8600.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00708,1.028,0.007313,0,-0.0288,-0.0194,-0.00482,0.009681,0.01148,0.004139,7.333E-4,-0.00359,1.009,0.01008,0,0.002873,-0.017,-0.0104,-0.0075,0.005715,0.006913,0.003618
DECam_00271520_19.fits,16754208,20140505085437_20140104,20140104,r,red,19,14.80212,-49.0793,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,12700.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.005165,1.021,0.001321,0,0.02153,-0.0118,-0.0207,0.007025,-0.00803,1.351E-4,0.02913,-0.00192,1.011,-0.00524,0,-0.00535,0.01078,-0.00619,-0.00677,-0.0105,0.001176,-0.00264
DECam_00271520_20.fits,16754209,20140505085437_20140104,20140104,r,red,20,15.27521,-49.08333,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,8437.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,9.79E-4,1.006,2.237E-4,0,0.001767,-4.2E-4,-2.76E-4,-0.00212,-1.69E-4,-0.00251,0.001066,-6.24E-4,1.004,-7.85E-4,0,0.007881,0.001803,-8.75E-4,-0.0141,1.434E-4,-0.0013,-3.27E-4
DECam_00271520_21.fits,16754210,20140505085437_20140104,20140104,r,red,21,15.75003,-49.08519,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,4178.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,2.574E-4,1.006,7.422E-4,0,-4.87E-4,-8.89E-4,-0.00352,-0.00443,0.002013,-5.16E-4,0.004944,1.472E-5,1.001,4.812E-5,0,0.02149,-0.00159,-7.96E-4,-0.0324,0.004111,-0.0046,-0.00193
DECam_00271520_22.fits,16754211,20140505085437_20140104,20140104,r,red,22,16.22548,-49.08542,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,-81.7,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-4.98E-4,1.006,0.001213,0,1.093E-4,-3.03E-4,-0.00365,-0.00427,-3.4E-4,-0.00298,0.004718,-2.07E-4,1.005,-2.72E-4,0,0.004185,-1.08E-4,-3.0E-4,-0.00935,-9.04E-4,-0.00272,5.485E-5
DECam_00271520_23.fits,16754212,20140505085437_20140104,20140104,r,red,23,16.70062,-49.084,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,-4340.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-7.84E-4,1.006,-1.78E-4,0,-0.00132,0.002584,-0.00162,-0.00207,-0.00169,-0.00459,0.003187,-2.77E-4,1.005,-2.78E-5,0,0.0031,-7.71E-4,-4.12E-4,-0.00786,1.84E-4,-0.00268,3.386E-4
DECam_00271520_24.fits,16754213,20140505085437_20140104,20140104,r,red,24,17.17394,-49.08074,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,4406,-8600.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00608,1.022,0.009188,0,-0.0236,-0.0122,-0.0206,0.008068,0.007085,0.004695,0.01913,-0.0036,1.02,0.008467,0,-0.034,-0.0185,-0.0092,0.0293,0.0109,0.006798,0.003299
DECam_00271520_25.fits,16754214,20140505085437_20140104,20140104,r,red,25,14.5604,-49.24116,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,14830.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.01053,1.038,-0.00242,0,0.0433,-0.00427,0.008726,0.01615,-0.0021,0.007001,-0.00231,9.367E-5,1.012,9.011E-4,0,0.001199,0.0167,8.99E-4,-0.00886,-7.14E-4,0.007263,3.601E-4
DECam_00271520_26.fits,16754215,20140505085437_20140104,20140104,r,red,26,15.03477,-49.24599,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,10570.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,0.002179,1.01,3.945E-4,0,0.00834,-0.00144,-0.00777,0.001512,-0.00258,-0.0116,0.008428,7.999E-5,1.007,7.496E-4,0,-0.00222,0.003335,0.001203,-0.00434,-0.00381,-0.00115,5.744E-4
DECam_00271520_27.fits,16754216,20140505085437_20140104,20140104,r,red,27,15.51067,-49.2493,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,6307.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,7.843E-4,1.006,-4.28E-4,0,0.001495,-0.00385,8.293E-4,-0.0029,-0.00497,-3.06E-4,1.817E-5,-2.69E-4,1.005,1.31E-4,0,7.384E-4,-7.84E-4,9.664E-4,-0.00378,0.00215,-0.00447,8.525E-4
DECam_00271520_28.fits,16754217,20140505085437_20140104,20140104,r,red,28,15.98795,-49.25037,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,2048.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,2.93E-4,1.006,-3.49E-4,0,-3.74E-4,-3.0E-4,-1.63E-4,-0.0042,0.00225,-0.00286,3.754E-4,-9.04E-5,1.006,2.692E-4,0,0.001201,5.175E-4,4.251E-6,-0.00983,-0.00211,-0.00286,0.001244
DECam_00271520_29.fits,16754218,20140505085437_20140104,20140104,r,red,29,16.46455,-49.24984,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,-2210.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-6.58E-4,1.006,2.13E-4,0,-9.0E-4,-4.22E-4,-0.00377,-0.0032,-0.0014,0.002703,0.005719,-3.48E-4,1.006,5.606E-4,0,9.619E-4,-9.83E-4,-9.3E-4,-0.00885,-0.00146,-0.00219,7.877E-4
DECam_00271520_30.fits,16754219,20140505085437_20140104,20140104,r,red,30,16.94076,-49.24723,2048,4096,RA---TAN,DEC--TAN,15.99,-49.3,2151,-6470.0,-6.99E-8,7.287E-5,-7.29E-5,-6.44E-8,-0.00189,1.01,1.423E-5,0,-0.00807,-0.00161,0.00185,0.001331,0.001958,-0.00589,6.634E-4,-5.96E-4,1.007,0.001531,0,9.994E-4,-0.00454,-0.00197,-0.0111,0.001466,3.743E-4,8.909E-4
